conversation_id,emotion_response_sentence
1000060894.txt,"I keep almost figuring or expecting, or almost committing a future to the idea that sooner or later, Matt - if he can't at least confirm reality around him, he will just accept the idea that he has to cope with it some way or another, or at least lose some of the terror of it; he will just become kind of numb to it and go on through it."
1004687784.txt,"And even the night before, I was restless, sleeping, but like I — I was sleeping OK, and I do feel like it was — I handled it OK, I think."
1004687784.txt,"But then I just — like, I am thinking about — like I wonder how it will kind of work out in terms of my workload for school and — and I feel like the course load is — it will be manageable, but I do feel like I'm trying to like pull in a couple of extra things just to make some money 'cause that scholarship money is gone this year."
1004687790.txt,"I don't know but I think for someone who's practicing regularly it's probably something that's very well-oiled to be able to identify these things and for someone like me it's sure between when I leave here and whenever I pick up again, I'll be very rusty at these things and so I - I don't know that I feel like I'm going to - I think at one time I did feel like it was going to be something I just had to do and then I'll be healthy or something and I'll be able to handle these things in a mindful way or a reasonable way."
1000122292.txt,"I feel like she's threatened by it, or jealous by it, or controlling by it."
1000122292.txt,"I think for the most part they just expect me to deal with whatever occurs with or transpires between me and whoever, and if I speak up and say something, it is not recognized how I'm feeling."
1000122292.txt,"</p> That is the difference between them, that you would actually recognize my feelings and try to work with it to help me understand why I felt this way, or for you to avoid making me feel that way."
1000122292.txt,"I avoid telling people how I feel because I find that, a lot of people that I have become involved with over my life time, ignore it."
1000122292.txt,I'm not angry at Beth because that is how she handles things.
1000122292.txt,"But if I'm hurt, or annoyed, she'd rather just ignore it."
1004687814.txt,"</p> I do enjoy spending time with Sydney, just it's sort of interlaced with the frustration of when he is avoiding doing tasks that would ultimately make him feel better."
1004687814.txt,</p> And the corduroys are fine when I'm like at work if I'm downstairs in the climate controlled area.
1000133837.txt,And I felt good about starting to deal with.
1000013267.txt,"It's really funny I spent all day Sunday I guess, avoiding people, like I just really felt shitty, I'm not quite sure why except that February 14th has always had some really bad connotations as far as part experiences and I also (inaudible) [00:01:30 ] if I could get more (inaudible)."
1000013267.txt,"Kind of how to deal with [life I guess] or with not having somebody there that I'm really close to-kind of feeling that I can be independent and alone and at the same time somehow satisfied, or somehow able to keep functioning and to deal with things."
1000013267.txt,"And kind of how to deal with that really strong kind of need which shows itself in like getting really upset whenever anybody I care about is leaving, kind of a real sense of loss and desertion and emptiness so that I'm in a sense feeling secure enough within myself to keep functioning."
1000013267.txt,"Maybe in some sense and I felt it myself of when I feel really secure in myself and I'm able better to reach out to some other-to other people and I guess it's hard to draw the line of having that security, maybe because you broke up a wall or have it be because you're just avoiding secure kind of (inaudible) [00:29:28 ] open without being vulnerable in a person."
1000013267.txt,Of feeling like that's so out of my control and which makes me feel very much more dependent on society than I would like to feel and I-producing the proper kind of behavior kinds of things rather than just figuring out who I am and experimenting with different kinds of lifestyles and stuff.
1000013267.txt,"</p> No I've been armored over for a good while but I just-it's just something that I know I've got to figure out how to deal with because it keeps coming up and sometimes if I'm in a weakened state as far as mood and stuff like that, it comes up even worse."
1000013267.txt,"But I cannot write to her, I just-I feel like I'm so outside of it and I don't know, it affects a whole bunch of little things too and just my ability to deal with that (inaudible) [00:51:00 ]."
1000094452.txt,I have gotten better but I have never had the strength to just sit down and handle these situations with any kind of solidity or decorum before.
1000094452.txt,I feel as out of control in this way as I did when I was crying.
1000088084.txt,She said she that she felt that there was some kind of progress in me being able to control myself or not getting so tense over little things that happen or something.
1000013298.txt,I shouldn't feel sad by that.
1000378668.txt,"(chuckling)</p> It was yesterday and I'm not sure exactly why I thought it was typical but, um, one of the teachers at my school in the Fall, um, was coming on very heavy and I didn't know how to handle this guy, I am very bad at that, and, um, anyway we got it straightened out and we've been going all year, and he came into my room yesterday and said he wanted to see me and took me into the teacher's lounge and told me that, um, he wanted to give me a goodbye kiss, which is fine except that, um, he was very nervous about it and had to explain it for a long time and then."
1004687816.txt,"</p> There was a question about whether or not Sydney was going to go down for the funeral, and some friends were coming to stay with me this weekend."
1000122290.txt,Physically I was loving and but emotionally there was always a limit to how I - it felt like I was - had to be control of my emotions and not to let them go because I was always afraid of being disappointed from something going wrong.
1004798739.txt,"Um, so it's just kind of a pain in the ass, and having to deal with all that when I'm not feeling that well is not that (pause) helpful."
1000126009.txt,"Because it seems like, oh it's so easy feeling good now to not look at or like not deal with what I was feeling like when I was depressed but I also feel like I realize maybe that's the time to deal with what I felt like when I was depressed."
1000126009.txt,"one thing about having talked about it, like I was expressing some of the ways I felt to the m-to the guy I work with and he's a very supportive man, and it, though I really didn't accept that support like I still felt incapable, it was encouraging sort of to put me through that day so that over the weekend I be, my feelings began to build in terms of good feelings and now I feel much better able to deal with that challenge."
1000126009.txt,like today I feel like I'm much more able to deal with that.
1000126009.txt,"okay I can accept that and see that, but I guess then I need to be able to deal with it when I am not feeling as good about myself."
1004798705.txt,"</p> I don't, I don't, I don't, I don't feel, I feel this just total lack of control and yet the model would suggest that, that I'm actually orchestrating this."
1004798705.txt,(PAUSE) I don't feel in control.
1000126021.txt,"I guess I shouldn't feel bad about it, you know."
1004472416.txt,But actually that's not right for myself to just let them say whatever and kind of ignore how I'm feeling.
1004798711.txt,"I mean I guess I have really two options; the ""just cut them off and be done with it"" option or the ""continue to play the part of a loving daughter"" and fulfill what they would see as my obligations to them in order to avoid feeling guilty."
1004798895.txt,"It wasn't like I was feeling like I was away from Todd or from being able to talk to my mom or someone about it, and have to handle it on my own—which I think scared me the most when it first happened cause I was by myself."
1004798895.txt,"02 seconds) Yeah, and it does feel good to know that I do feel like I know so much more about how to handle it."
1000070461.txt,"And if, I guess, you know, if you learn to feel comfortable feeling intensely, then you would feel that somehow you can handle it."
1000070461.txt,"And I've always felt that I was extremely out of control, but, you know, that's why I was really surprised when people would look at me and say that they were - you know, they were surprised when I would express an emotion because they always thought I had everything, you know, fine, you know, magical (ph)."
1000070461.txt,"</p> Yeah, I feel like my age hasn't - you know, my age hasn't really defined me, you know, like - but I really can control things more than that."
1000070461.txt,"And kind of wait for it to come instead of feeling I have to control it, you know, and create it."
1000013307.txt,I mean the reason why I haven't been able to get a handle on work is because of the way I felt physically.
1000013307.txt,"it is fear and (inaudible) running away from it because I don't want to deal with it, I'm sure."
1004522816.txt,"And you know, so I think that both of us are very good at that but with real life people sadness types of things it's really not something that (pause) he's able to handle."
1004522816.txt,</p> I shouldn't feel like I can't tell him as opposed to where I choose not to because it's like irrelevant.
1000013313.txt,I said you know I've just ignored him because I felt like shit.
1000013313.txt,</p> So worthless sounds to me like you feel out of control.
1004532422.txt,"[00:18:46]</p> It's like I've been there for quite a while, and like I even feel nervous to talk to my direct manager about it because she's been with the center for ten years and in her position for quite a while."
1004532422.txt,"But no, I do think that yeah - I - I - that's certainly true in terms of sometimes avoiding things because it'll make me worry that, you know."
1004532436.txt,"And, I don't know, on that committee I felt like my concerns about accessibility for the room — it's weird, because they were listened to by some people and ignored by the people who would have implemented it."
1000133996.txt,"""</p> And trying to get him to understand that and to deal with that and really, um, just not to become upset when a lot of the times I just don't want to go on every time and I'm just not sexual attracted, and it's because I'm just feeling sick and I'm hurting, um, and that that does not mean he's not attracted to me, which is the problem we've come into time and time again, he feels that he's not being, but that I'm not attracted to him and that that's a great problem."
1000133996.txt,"Um, but it's come to the point where, where it's intolerable to deal with myself after that and I just, I just stop and I just have sex and I do that now and I just go crazy, I hate it so much and I just feel so terrible."
1004538640.txt,""" (inaudible) but, when I'm hung-over, I always feel like something's going wrong with my body that I'm not going to be able to control."
1004699977.txt,"[00:10:13]</p> Yes, I'm struggling with this issue of feeling like this is 100 percent done, not knowing how to deal with the heartbreaking feeling of that."
1000133940.txt,</p> Because I feel that I shouldn't feel like that.
1004699963.txt,""" And I feel like—I guess talking about it with someone else also—I mean, it makes it easier to kind of accept that that happened, and be like, ""Okay, this happened, and I have to deal with that happening."
1000013306.txt,</p> Yeah we can stay with it but I just feel like I'm being examined.
1004687750.txt,"And I don't either, but I think that I'm just feeling more and more pushed away by these girls because they're all, like, going to a million weddings and going to each other's weddings and all in each other's weddings and you know, like I don't have that."
1004687750.txt,"[44:21]</p> And that, you know, makes me feel like I have more control over my own emotions because somebody else agrees with me."
1000070460.txt,"Yeah, I really feel just like I can handle things again, you know."
1000070460.txt,But then what scared me was that I had the freedom but I had no control.
1004565023.txt,</p> That makes me feel totally out of control.
1004513638.txt,I think it's something of a cycle that I've somehow managed to convince myself that I can't relax and be proud of what I've done until it's completely finished and then the other part of me just dreads sitting down and working in an uninterrupted 20 hour burst or however long I can go before I pass out and thus reasonably avoids it because.
1004798857.txt,"(pause) Yeah, I did mention to my brother (pause) I told him I was thinking of not coming down for Thanksgiving, and then when he asked why, I mean I pretty much said ""I don't want to deal with our mom being crazy all weekend."
1004472417.txt,"And it is like, most of the times, I've wanted to bring it up, and I get like some sort of – like a confirmation, or, like, we talk through, I feel better like the (sickest) (ph), but I still feel like, ""Yeah, you say that it is fine, but once you see them,"" [chuckles] ""once you have to deal with them, like, it won't be."
1004472417.txt,"I get – I don't know – kind of my own issues and fears, and I don't know how to handle that."
1004472417.txt,""" If he isn't worried about himself, then I'm the one who ends up feeling that I have to deal with it because my brother certainly isn't going to help."
1000126020.txt,"It makes me think, too, in a much smaller, smaller scale, what, you know, I guess I feel so much better to deal with counseling with kids or adults around unwanted pregnancy and abortion counseling, you know."
1004798923.txt,"in theory, I can control how I react but I can't really control the fact that I'm getting upset in the first place."
1000013299.txt,""" And that it's almost like I feel I'd be able to handle it better if I had that security and the support."
1000013299.txt,"</p> Not anxious but just like, I don't want to deal with."
1000013299.txt,"is it okay that he kind of makes me feel bad because he forces me to deal with these things and says and doesn't give me the 100 percent security and reassurance that I'm looking for, is that my problem?"
1000699476.txt,"I think those are the, the two primary things that I, I feel need to be dealt with right now."
1000013266.txt,And damn I wish I could stay with like I started out really feeling part of this whole thought pattern like before I even started writing.
1004824743.txt,"I shouldn't feel that way, and I don't even know why I do, but I do feel this like, ""You know what, dude?"
1000094443.txt,I still sort of feel nostalgic because I wish I only had that to deal with instead of a lot of the other things that.
1004798927.txt,And it's not something that I feel like I have control over which is also—you know what I mean?
1004687634.txt,</p> I think probably the part that I find really frustrating to deal with is I know there are ways in which sometimes I feel like this is really disabling or this is really affecting stuff I would like to do.
1004687634.txt,""" When I do go out and go to a thing, I do a good enough job of faking it or avoiding how I've been feeling."
1004687620.txt,"(chuckles)</p> I might be doing this as a way to run myself down, and avoid an anxiety situation, but looking at things from her perspective, here's a guy who's married with two children."
1004798853.txt,I don't feel like I'm being blamed—- </p> —- because the other attorney knows it's somewhat out of my control.
1004798853.txt,"</p> The stressful—- I'm still going to have to deal with ""Well, you know, why is your lender fucking up so badly?"
1004565033.txt,"If I had been nine to five and those additional seven hours was overtime, you feel like you have a little bit more control."
1000133950.txt,"just - and I just don't seem to be able to cope with anything that's coming down right now, so I'd much rather not, when I would just rather be doing as much as I can."
1000133950.txt,"I just have been un - and what I need to do I feel is to lock myself in a room and get my work done but I can't, but that that's a selfish, childish way to handle it but maybe it's the only way that I can, but it would hurt him fantastically."
1000013302.txt,"</p> Because I mean all my life all I've known is that my father - I felt pushed away and not wanted or not loved enough, you know?"
1004538644.txt,"And for me, I feel like I don't have the control because I already lost it when I was lying to her and I was doing all these other things behind her back."
1000013303.txt,</p> I don't feel out of control at all in my life right now.
1000013303.txt,""" But I dealt with it really, really well, just this kind of the feeling I had."
1004798885.txt,I have just been afraid of the reaction or something and don't want to deal with it.
1004798885.txt,</p> Then it just puts me in a position of having to deal with him either getting really upset and depressed and me not really knowing how to react to that or him telling me how much he is doing and that I am not seeing it and still think that he needs to do all of this stuff so never mind that it is to much of doing his whole break up with you routine that I have seen a thousand times before and either having to make a decision to accept that or argue it until we aren't at that point anymore.
1004798891.txt,So probably there are so many things that I feel I cannot get a handle on that it's just like a mess.
1004798891.txt,I mean we can but I guess my more immediate fear is not being able to deal with it.
1004798891.txt,"And again, this might sound too charitable (chuckle), but there's a very uncharitable motivation behind that too because when they talk about themselves I feel more in control of that relationship, of that conversation, that dialogue because I feel like I have an upper hand if I know something about them (pause), more than they might know about me."
1000070459.txt,"</p> Yeah, well, I also felt - you know, I realize that, you know, 50 minute session thing is, you know, really set up, but it seems like - you know, if there's some way to kind of focus things at the end and stop it, it seems like it's more kind of manageable thing for a client to handle, you know, than just to say, ""Well, okay, time's up,"" you know."
1000070459.txt,"You know, I think it was a really truthful thing, but I feel guilty that I lost that much control, you know."
1000070459.txt,"I just feel like I'm - like, everything that happens around here is just totally beyond my control."
1000013673.txt,"But when I first started, it-I had a feeling that I was not going to manage without some sort of help."
1000013673.txt,"I just would have feel very awkward not having a chance to-to think about myself, and cope with it alone in private."
1000013667.txt,"I sort of had this, this strange feeling like if I can really do it tonight, then I will disprove this bit about me not having any control, over myself."
1000013667.txt,"</p> Yeah if it does-</p> I'd just as soon feel that I have some sort of control over myself, and what I do."
1004687782.txt,"</p> And so I think it is just trying to [pauses] figure that out and just make sure that — I think what I have lined up for school will feel manageable, but that's like another piece of it, too — is just like once I'm in there, I don't — once I'm into the swing of it, I just hope that feels, um, like I will be able to have some kind of balance."
1004477230.txt,"(3 second pause) And just the disappointment that I felt towards them (sighs) and how my life just (3 second pause) got out of control, to the point where I was going to let drugs take over my life and just end it there."
1000056529.txt,"</p> Like denying the feeling, you know like denying that I should allow myself to feel the feeling by justifying it in some way or qualifying the feeling."
1000013288.txt,I felt like I've dealt with this before.
1000013263.txt,"8] I am not sure that I can really, I'm not sure how much I can settle down and how much I can decide what, not to travel and not to, provided I have even managed to do anything at all."
1000013261.txt,"And I just, I just coped out I just left because I, I felt too vulnerable to not being able to cope with reality myself to sit there and argue about, how you label people."
1000013261.txt,Which I would always let myself do and which I could always control if I needed to if I felt the situation warranted it.
1004564931.txt,"So you know, I had to go deal with that and I'm just nervous that something in there is fucked up and I'm going to have to go back."
1004564931.txt,"</p> You know, I mean at the point that Claire did not want me to get a deal with her sister to work on her sister's sale, afraid that her sister might tell me."
1004472410.txt,"""</p> Then I was thinking that I do feel like some aspects of my life could ever, not out of control but I don't have control over them?"
1004472410.txt,"Yeah and I know I never felt or never thought of it in a sense of like control, but I feel like that's kind of like what it really is."
1004472410.txt,"</p> Yeah, it was kind of shocking because like at the end of the day I really feel like it came down to control."
1004477232.txt,"I wonder if this feeling of being under siege, a truly unpleasant feeling she might wish to avoid, led her to arrive late."
1004477232.txt,"But I think part of its like I'm so frustrated and like, ""I just can't deal with this."
1004798887.txt,"And also because part of it, he is complaining that he is not able to save as much or whatever and I don't want him to feel resentful so I would rather just let him do his thing and with the phone bill, I don't want to have to deal with overages, I don't know whatever."
1004798887.txt,"I can't, I have my own emotional issues and issues from my own childhood that I deal with and have to work with."
1004503160.txt,"But, in a way like I guess I feel like I can really only control my behavior, you know."
1004503160.txt,"But I think that, there's just like such an overwhelming sense of guilt for doing certain, for doing some of these things, especially like, I don't know, I think because I don't want to, I don't want be like (pause), like it sounds horrible but I don't want to be like my mom where like she feels like she has to stay with someone who she knows like doesn't love her back for 35 years."
1000013301.txt,"</p> It is weird because I'm not trying to avoid the feeling ""(chuckle)"" it can come up again ""(chuckle)"" you know."
1000013301.txt,"But obviously, I have some, I just don't, I don't</p> I guess it makes me feel out of control when it comes, you know it makes feel, I don't like the way it feels at all, it makes me feel ."
1000013301.txt,</p> I guess it is just feeling of uhm not being in control.
1000013301.txt,I just don't understand the feeling at all; I just do not know how to deal with it.
1000013301.txt,"Then I thought about that after I was going to say that, I thought if someone were to kind of instigate and make me feel angry for some reason I think I probably would, would just like walk walk away and not deal with it."
1000133990.txt,And he kept on going into hysterics about how it was something I wanted to do and that I wasn't doing but he would carry on and his not being able to control himself which were any need from doing something that I wanted to do —</p> —and how he felt guilty about that.
1000133990.txt,"I really feel the whole thing is a great lack of ingenuity, an inability to cope with the changes (inaudible—1:01:04."
1000133984.txt,I've become a bit afraid when somebody tells me that I've ignored them or hurt them or something like that.
1004532424.txt,"But on the other hand, A, it's humiliating that I'm being micromanaged, even though I need it, and B, there have been accountments in the last few days - like I've lost count of the number of times where I've gotten a simulation result I don't understand, couldn't explain it, gotten frustrated, and if I were on my own, I would've thrown my hands up into despair and said, ""Well, what can you do?"
1000013300.txt,"I felt mad, I mean, I felt betrayed and lied to and cheated on, but I didn't-I just dealt with it, I just deal with things, and I've always thought that that was a positive quality, I mean, I just-I don't think that anger is necessarily productive."
1004699959.txt,</p> (sighs) (pause) A lot of it is I just don't feel motivated or like I have the energy to just deal with all this stuff.
1000094509.txt,"</p> Well, last night I came to the conclusion that I'm planning to stay with him, and I guess I came up with the decision on various levels, you know, on my personal needs, financial needs, and emotional needs, you know."
1000094509.txt,"And not knowing, I guess that just makes me feel totally out of control, not knowing what's going to happen to me, you know."
1000013314.txt,</p> Because I feel like I could handle it.
1000016536.txt,"I mean I didn't (ph) manage to get angry at her, you know, which was a good thing."
1004565025.txt,That makes me feel so embarrassed that behavior gets that far out of control and I can't handle that.
1004565025.txt,"I don't like it and so for me, if I ever feel out of control in my behavior, I just remove myself from the situation."
1004565025.txt,"I feel like if I could just handle this better, if I could have just stopped walking and calmly ."
1004565025.txt,I know how that will make me feel and I just don't want to deal with it.
1000070466.txt,"And I get the feeling maybe the reason he is ignoring me is this is the since we are thrown together so much because we're in so many things, maybe this is the way he has of telling me, ""Leave me alone."
1004565019.txt,I felt like he was questioning my money-management skills and it just felt so awkward to me.
1000070472.txt,her words may come out of love and just worry for me - love for me and worry for me - and situations that she has heard and stuff but she doesn't like fly off the handle when she says these things; it is calmly said and she has got a lot of common sense and therefore I put a lot of stock in what she says.
1004798851.txt,"Now I've got to deal with the payments, you know, which is a major downgrade in my life."
1003371496.txt,I feel like I'm walking a line between trying to deal with this stuff and being scared stiff to deal with it and A long time.
1004472411.txt,"</p> I know but I feel like should I have not, like I feel like I tried to address an issue because if not he'll go on like pretending like everything is fine so would the right thing to have done been like ignore it and just not I mean maybe with him like this is how I should deal with it but should I not have said anything and then Christmas happens and I pretend that everything is hunky dories?"
1004472411.txt,"So Christmas will come and we'll be at the house and he'll be quite and he'll be acting funny and then I feel like its, well I could do kind of what I did last night and you seem upset or Neil told me that you're upset which creates what happened last night or I just ignore his weird signals and pretends that we're carrying on as just fine."
1004472411.txt,"And then he keeps blaming, when why we're all like upset with him, on the divorce and I'm like well maybe like mom was there and kept like, since everyone was like in the same like household in the family it felt a little better, but like the problems that I have with you like are not do to the divorce it's do to like the relationship we have and like the type of people we are and how he interacts with people."
1004472411.txt,"But and then like I feel like but because I want to help him but I can't (inaudible at 00:15:36) because is he just a jackass or is he like so sad and lonely that he can't, like he can't deal with it."
1004472411.txt,"But like clearly it annoys me so I don't have to like, well I don't want to ignore the matter but I don't know I feel like maybe it's time, like it just takes time and actually like over time it has been getting better but like I still feel, I still do both things and I'm not working there and slowly I'm starting to not be as upset about our relationship as I use to but (inaudible at 00:18:31) annoyed."
1004472411.txt,"So I feel like if I am upset like I usually just deal with it myself because if I tell him I'm upset I end up being more upset because I feel like, you know, something is wrong with me or he doesn't care or (inaudible at 00:21:23)."
1004472411.txt,But I don't and I feel like that in some aspects I do because I've been working for him forever but he's like I'm always like the one who like vocalizes it a little bit and he does not like when someone challenges him or does not listen to him and then he does mean things to like gain control and it's almost like con people into doing what he wants.
1004472411.txt,"So, yeah I just like I just don't, it's like I'm looking for this plan on how to deal with him and I don't know what to do or how to deal with it because I like what seems to make sense for me is to just not speak to him but I feel like in most situations that is not the answer to things but I feel like with him like you can't talk, you can't do anything so it's just like (inaudible at 00:44:34)."
1004472411.txt,Not really have a relationship with him or at least I feel better usually at the time but then I start (inaudible at 00:44:46) because they don't have to deal with him.
1004798925.txt,I can't really do anything about that either but then I have to deal with the consequences of him being depressed or something if he hasn't taken his meds that day.
1004798925.txt,""" I mean, I don't wake up at the same time of day either, however (pause) I know that if I don't take my meds I will be very, very sad and also there's the birth control pill that I don't want to get my period."
1004798919.txt,(PAUSE)</p> I mean I guess it also because of Nicola like that always made therefore like be suspicious and never thinking that a guy would want to stay with me because (inaudible)</p> (inaudible) not try to offer me any sort of comfort and he says he loves me but he doesn't do anything to prove that he loves me and he doesn't care how I feel.
1004798919.txt,I just deal with all the sad parts of him and like he gets to like do happy things with other people instead.
1004798919.txt,"It was just that he was feeling worse and so I like I sat there and forced myself to drive, you know, and tried not to think about it and like was so afraid I was going to lose control of the car even though it was like day time and stuff and like."
1004824779.txt,"04 seconds) No, I really think it's more that I'm—it's just—or we were saying, that I'm feeling this little bit extra anxiety because I like this girl and unlike other times, when I would just get anxious about it and then spiral out of control, now I know why I'm anxious and I know that it has nothing to do with the reality, you know."
1004564929.txt,"</p> And, Dave can't handle it; he really hates hearing these stories because I don't know if I had to guess it makes him feel helpless to help me."
1000013292.txt,"</p> So the accusation of anger is a real accusation that is I guess - I'll do anything to avoid being angry, to replay those horrible - horrible relationship with my parents, except what's happening is that's being replayed now with Kathy."
1004687820.txt,"</p> I'm just afraid that they're just going to bother me more about the fact that I don't have a job, and I don't want to deal with that either."
1004687808.txt,"I'm not thrilled with nighttime driving on the highway even as a passenger, but it's not nearly as scary; like I don't have this fear that he's going to lose control over the car the same way that I have the fear that I would lose control."
1004687808.txt,I guess if you don't feel completely in control of yourself it's harder to feel in control of the vehicle you're driving.
1000056533.txt,"And you know, I felt at least in the past that a lot of times I might not really be investing my feelings just so I could avoid being hurt, in a sense, you know, kind of like a separation process all."
1000126017.txt,"But it was like, I didn't feel like I would have anything to say and I just, I couldn't deal with going over there and feeling like I'd be the first one there and have to sit there with those two guys and."
1004472420.txt,"And, you know, I'm very anxious and trying to control myself and distract myself with other things."
1004472420.txt,"I don't know if it's from the anxiety, whether it's just – everything just builds up, builds up and then it just explodes, and that's how I deal with it, and I let it all come out."
1004503150.txt,"So I know that I shouldn't feel back, but I don't know, I feel a little bad for him too."
1004503150.txt,"I think a little bit, if that's true but I definitely feel like – I've felt like at time like, ""Hm, my life at work would be so much easier if I didn't have to deal with your thing."
1004503150.txt,"But then I feel like I shouldn't feel bad to have the expectations, but then I don't know, I think his idea of what a good parent is or even like a good person is just so basic that I just end up feeling bad that I want more, expect more."
1004503150.txt,"And I know that I shouldn't feel like that because when I think about it more, I'm sure if there were more situations where none of us would work, my boss would like, she's pretty fair where she would help out if need be, or I think if it came up more she would end up saying, ""You know one of you has to give something up"" And I think if it came to that clearly I wouldn't be the one always giving something up."
1004503150.txt,So I don't know how to deal with people who don't care because I end up feeling really just annoyed and frustrated with them.
1004522820.txt,"</p> Not necessarily control as much as that, I mean you could be just as angry and you can yell just as much or not supposed to yell especially not in the middle of the night."
1000133988.txt,"</p> Yes, except that if I were to not feel guilty about doing what I want to do and just picking up and to a point doing what I want, I would still have to cope with him complaining constantly that he never seeing me."
1000134003.txt,"I was worried that I was going to lose my relationship with the, that I handled (inaudible - 0:03:08."
1000134016.txt,"I can really understand why they drink, why a lot of these things have happened, but that doesn't mean that I can stop feeling hurt, that I can all of a sudden say, you know, ""It's all right, I can deal with it now,"" and they feel they still can."
1004687564.txt,""" [Pauses] So I'm just [sighs] feeling super demoralized and kind of gotten to a spiral of blaming myself for the reason — for my friends not being available because, you know, they've decided they hate me and they're avoiding me because I was a bad friend all spring, and was moody and depressed, and unavailable, and flaky, and — I mean, it is true that I was moody and depressed, and would bail on events with very little warning, and was not reliable, but [sighs] [pauses] [inhales] — I don't know."
1004687570.txt,</p> I was just still pissed off about the situation with my gym and was very upset that the gym manager hadn't responded to my second e-mail.
1000122106.txt,"</p> Yeah, but I know why because I feel like I'm still going to have to deal with it."
1000122106.txt,"You know, like I just feel like I am getting scared that I can't cope with things; that I am less and less able to cope with things."
1004699955.txt,I have a number of coworkers who regularly work from home one day a week so at my next one on one with my manager I mean to ask if I can do that because it's just.
1004699969.txt,I kind of feel like I've dealt with that in my own mind.
1000070456.txt,"</p> Yeah, I feel like, that I've gotten worse as far as being able to control myself."
1004565029.txt,"I don't even want to deal with this because it was so infuriating, so upsetting to me."
1000126016.txt,"and I could deal with it quite rationally then how I would feel, or not how I would feel, but what I could do even yesterday and this morning, as I became more and more nervous before finding out what the test results were even, but there was still that ray of hope that I might not be pregnant."
1000126016.txt,"</p> You see, one of the things I feel like is, ""I'm sure I can get through this and deal with it one way or another, because I think I have enough faith in myself"", the strengths I guess."
1004472409.txt,"I may not show it but inside like my anxiousness is out of control, my hearts racing, my minds going, I'm really freaking out."
1000056532.txt,"I'm not sure if it's because I don't like the feelings or maybe because I felt I didn't know what to talk about next or where to go, and maybe I felt that was the best way to avoid situations like that was simply to break it off."
1004798901.txt,</p> And in a way it's kind of nice to let myself feel that cause I don't think I ever would have let myself feel that before.
1004824763.txt,"Everything was feeling—- I was avoiding a lot of things, you know?"
1004824777.txt,"I need a way to—it's like an anxiety attack and you have no way to manage it, you know."
1000013291.txt,"There was a degree of enthusiastic support that I felt from her that I don't feel here, that I don't feel from you, and it's because, from a couple of reasons I think; probably because we're approaching things differently and it's just a different sort of - you're a different person and you handle things differently."
1000013291.txt,And I know that it's hard for me to deal with other people; I find it very anxiety provoking.
1000013291.txt,"</p> But still, at the same time, okay, but I want to deal with that visceral fear that I feel when I'm dealing with strangers I think."
1004600958.txt,"I don't know that it's completely unrelated because — I don't know, I sort of avoid going swimming at all costs, and I think part of it is feeling really uncomfortable in shorts or whatever."
1004600958.txt,"But I've never actually seen anyone die before, so I'm nervous about that because if I can't handle it, I can't be a doctor."
1004798903.txt,And Josh said to me if you're wanting to deal with anxiety and be more social you should probably go to your lab event.
1004798917.txt,"And even having a basic understanding of that (pause) of what I can do, like you said, to control those things, and control the anxiety, and manage it."
1000056530.txt,"It wasn't as threatening that night as it was before, because at least here, I could deal with the decision, and deal with the reality, the possibility, because I felt that it existed."
1000056530.txt,"You know, if I'm in a situation that's emotional that stimulates feelings in me, then I guess I go ahead and feel them, you know, but it's like I avoid situations I would imagine that ."
1000056530.txt,"you know, I feel impotent when I can't deal with problems, and I'm just left to deal with my own emotions with no constructive kind of outlet."
1000056530.txt,"I don't think I would have known how to deal with it, and I also don't think I would have WANTED to because I was angry and hostile."
1000056530.txt,"I guess I feel that after she sorts them through, and kind of knows how to deal with them herself, she won't lay them on me."
1000056530.txt,"I feel like I've developed a structure to deal with them, but you know, as I've said before, that's not entirely satisfactory."
1004477229.txt,So if I feel like that it could be negative I'll prolong asking it for such a longtime until I feel like I'm prepared to deal with a negative response.
1004477229.txt,"but I have to ask that question if I'm like scared that I may not like, like the answer and I don't know how to deal with it and then I won't ask the question until I feel like I know how to deal with it."
1004477229.txt,"Because if I, I don't know we talked before like I don't like to be sad so if like, you know the outcome of like a conversation about where my relationship is heading is not a positive one then I'm going to be really sad and upset and not really know how to deal with it."
1004477229.txt,"But like I felt like it was almost like personal like reflection on me, which I don't know why I felt that because obviously it was not in my control."
1004477229.txt,I felt like just weird and embarrassed about things that aren't really in my control.
1004477229.txt,I don't know to not feel like so normal but like that I can't deal with it to put .
1004477229.txt,But I feel like I do have like that same tendency but like I want to control and if I don't have my way like I really don't like it.
1000126014.txt,"It's almost like I can handle - I guess I (inaudible) I guess I feel sort of guilt feeling about being angry about something that's petty, that it takes 10 minutes."
1000126014.txt,"Like be angry today is something I want to do because I know I have - well I know I can't control my emotions, but I control the way I feel (inaudible) I don't have to let anybody know how I feel and I don't."
1004687770.txt,"And I think the biggest thing about all of this is like, is like all these things that I kind of push down in terms of like things to compromise on and what not to compromise that I talked to you about before but kind of was like well we can work it out, have now become like I don't want to fucking deal with this."
1004687770.txt,"</p> Because literally I know him way too well to that it will not go anywhere besides into another conversation that ends with him blaming me in some way for feeling that way, or for telling him that, or for hurting his feelings for telling him that when it's not really true, and this is why it's not true and why I shouldn't feel like this."
1000070454.txt,I just feel like I'm controlling cooking the meals for him and that's the only part I'm relating to him.
